id,name,short_hand,type,ratio_to_parent,ratio_type,parent_id
99720d8a-08ca-4e51-9a4b-a467ef620ceb,degree,°,ANGLE,NULL,NULL,NULL
c0ec1623-0245-4f37-9ce8-cf44cb3dfa88,arcminute,NULL,ANGLE,${value}/(360*60),EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
ff86120f-4558-4b8e-9b8d-c3685376b651,arcsecond,NULL,ANGLE,${value}/(360*3600),EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
472ca1e4-03be-466f-9552-9249d6172311,circle,NULL,ANGLE,1,BIG_DECIMAL,99720d8a-08ca-4e51-9a4b-a467ef620ceb
0148e8e4-bd58-4dc6-badf-f14d23c9af3f,gon,NULL,ANGLE,${value}/400,EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
eb52a057-8daf-4e75-86fa-441f771a45da,grad,NULL,ANGLE,${value}/400,EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
54cf4618-7807-4736-bf84-ff7598309d39,mil (Nato),NULL,ANGLE,${value}/6400,EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
9c74866b-25be-4189-b569-f4288453a9bd,mil (Soviet Union),NULL,ANGLE,${value}/6000,EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
a62081a5-ac33-461a-a318-250784a1f794,mil (Sweden),NULL,ANGLE,${value}/6300,EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
855bf3f3-039d-4001-b55c-6f1e8983de17,octant,NULL,ANGLE,0.125,BIG_DECIMAL,99720d8a-08ca-4e51-9a4b-a467ef620ceb
1e0c8d5c-24c0-440f-8aba-ab863ef0aa6a,quadrant,NULL,ANGLE,0.25,BIG_DECIMAL,99720d8a-08ca-4e51-9a4b-a467ef620ceb
5280672e-5b6b-4617-88f2-96089c8d0d80,radian,NULL,ANGLE,${value} / (2 * PI),EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
65773bd2-65e5-4508-a910-9b8cb8fb65f0,revolution,NULL,ANGLE,1,BIG_DECIMAL,99720d8a-08ca-4e51-9a4b-a467ef620ceb
87f8995d-ff13-4fa6-a7e4-0f0b2bd659b5,sextant,NULL,ANGLE,${value}/6,EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
b28acd80-2521-45ba-aab6-f671b20e45c0,sign,NULL,ANGLE,${value}/12,EXPRESSION,99720d8a-08ca-4e51-9a4b-a467ef620ceb
b6dcbfd5-5073-4077-8bb3-f7e7a3312a00,turn,NULL,ANGLE,1,BIG_DECIMAL,99720d8a-08ca-4e51-9a4b-a467ef620ceb
4e886e1f-69e2-4e27-92be-eaab3154a8ed,square meters,m²,AREA,NULL,NULL,NULL
d796c39d-acad-41ce-a20f-dad8d528b060,acres,NULL,AREA,4046.8564224,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
8bbfbd14-7772-4a81-bdca-57de088cee2f,ares,NULL,AREA,100,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
f9204957-a679-432a-832d-43e3600c92f8,circular inches,NULL,AREA,0.000506707479,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
a741be17-9242-4801-bdd5-c6cce5a9b0e1,hectares,NULL,AREA,10000,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
abe5df07-54df-45b2-8020-f3179fc9343a,hides,NULL,AREA,485000,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
ac303537-d59d-41a8-8819-3ec2c6a217b9,roods,NULL,AREA,1011.7141056,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
54628221-dcfe-4b1b-b765-e2b333c32f7e,square centimeters,cm²,AREA,0.0001,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
f64e0581-3a77-402a-babe-fb3e83a2db2c,square feet (US & UK),NULL,AREA,0.09290304,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
7046834f-e446-4491-92af-82fb5187b364,square feet (US survey),NULL,AREA,0.092903411613,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
b8b59038-246d-4615-885f-8aa91c868ee4,square inches,NULL,AREA,0.00064516,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
8c2d997d-dd6f-44ef-8b58-a07251d2697e,square kilometers,km²,AREA,1000000,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
329fac17-f30c-424b-a649-8b2e11a63e79,square miles,NULL,AREA,2589988.110336,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
f623348f-136f-4976-84ad-9a4d48e84ed9,square millimeters,mm²,AREA,0.000001,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
49fc34cd-b127-4b57-b372-5d027aae0805,squares (of timber),NULL,AREA,9.290304,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
4105f2f1-f109-4d02-beaa-dfc7adb3590f,square rods (or poles),NULL,AREA,25.29285264,BIG_DECIMAL,4e886e1f-69e2-4e27-92be-eaab3154a8ed
